Chart	Purpose	Element	Interactions	value
Dashboard	Analyzing	Toolbar	Filtering	1
Dashboard	Analyzing	Overview map	Highlighting	1
Dashboard	Analyzing	Table	Categorizing	1
Dashboard	Analyzing	Grid map	Zooming and panning	1
Dashboard	Analyzing	Grid map	Clicking	1
Dashboard	Analyzing	Grid map	Toolip	1
Dashboard	Analyzing	Table	Highlighting	1
Dashboard	Analyzing	Table	Ranking	1
Dashboard	Analyzing	Heat map	Toolip	1
Dashboard	Analyzing	Heat map	Clicking	1
Dashboard	Analyzing	Heat map	Linked	1
Dashboard	Analyzing	Heat map	Zooming and Panning	1
Dashboard	Analyzing	Overview map	Highlighting	1
Dashboard	Analyzing	Histogram	Filtering	1
Dashboard	Analyzing	Toolbar	Filtering	1
Dashboard	Analyzing	Toolbar	Swiching Mode	1
Dashboard	Data management	Parallel coordinates	Filtering	1
Dashboard	Data management	Bar chart	Categorizing	1
Dashboard	Data management	Heat map	Filtering	1
Dashboard	Data management	Heat map	Zooming and Panning	1
Dashboard	Data management	Table	No	1
Dashboard	Decision Making	Table	No	1
Dashboard	Decision Making	Histogram	No	1
Dashboard	Decision Making	Image	No	1
Dashboard	Decision Making	Map	Zooming and Panning	1
Dashboard	Decision Making	Text	No	1
Dashboard	Analyzing	Toolbar	Filtering	1
Dashboard	Analyzing	Map	Zooming and Panning	1
Dashboard	Analyzing	Calender View	Filtering	1
Dashboard	Analyzing	Calender View	Highlighting	1
Dashboard	Analyzing	Clock View	No	1
Dashboard	Analyzing	Glyph	No	1
Dashboard	Analyzing	Toolbar	Filtering	1
Dashboard	Analyzing	Toolbar	Configuring	1
Dashboard	Analyzing	Box Plot	Filtering	1
Dashboard	Analyzing	Parallel Sets	No	1
Dashboard	Analyzing	Table	Filtering	1
Dashboard	Analyzing	Choropleth Map	Zooming and Panning	1
