Chart,Purpose,Element,Interaction,value
Dashboard,Analysis,Adult,Crew,1
Dashboard,Analysis,Adult,Third Class,1
Dashboard,Analysis,Adult,Second Class,1
Dashboard,Analysis,Adult,First Class,1
Dashboard,Monitoring,Child,Third Class,1
Dashboard,Monitoring,Adult,Crew,1
Dashboard,Monitoring,Adult,Third Class,1
Dashboard,Monitoring,Adult,Second Class,1
Dashboard,Monitoring,Adult,First Class,1
Dashboard,Monitoring,Child,Third Class,1
Storytelling Map,Male,Adult,Crew,1
Storytelling Map,Male,Adult,Third Class,1
Storytelling Map,Male,Adult,Second Class,1
Storytelling Map,Male,Adult,First Class,1
Storytelling Map,Male,Child,Third Class,1
Storytelling Map,Male,Child,Second Class,1
Storytelling Map,Male,Child,First Class,1
Storytelling Map,Female,Adult,Crew,1
Storytelling Map,Female,Adult,Third Class,1
Storytelling Map,Female,Adult,Second Class,1
Storytelling Map,Female,Adult,First Class,1
Storytelling Map,Female,Child,Third Class,1
Storytelling Map,Female,Child,Second Class,1
Storytelling Map,Female,Child,First Class,1
